Month_Yr,Sample_ID,NO3 (ugN/L)
Jan-83,QS,40
Jun-83,QS,50
Jul-83,QS,42.25
Aug-83,QS,52.5
Sep-83,QS,52
Oct-83,QS,52.6
Nov-83,QS,71.25
Dec-83,QS,51
Jan-84,QS,47
Feb-84,QS,50.25
Mar-84,QS,66
Apr-84,QS,71.4
May-84,QS,26.88888889
Jun-84,QS,30
Jul-84,QS,29
Aug-84,QS,35.25
Sep-84,QS,31.5
Oct-84,QS,35.8
Nov-84,QS,42.45
Dec-84,QS,51.05
Jan-85,QS,71.54
Feb-85,QS,64.75
Mar-85,QS,58.25
Apr-85,QS,50.875
May-85,QS,43
Jun-85,QS,63.5
Jul-85,QS,52.2
Aug-85,QS,40
Sep-85,QS,56.71428571
Oct-85,QS,41.2
Nov-85,QS,77.27777778
Dec-85,QS,62.6
Jan-86,QS,80.25
Feb-86,QS,83.33333333
Mar-86,QS,84
Apr-86,QS,60.875
May-86,QS,56.25
Jun-86,QS,66.5
Jul-86,QS,86.4
Aug-86,QS,66.25
Sep-86,QS,67.25
Oct-86,QS,90.25
Nov-86,QS,94.75
Dec-86,QS,90.8
Jan-87,QS,110.75
Feb-87,QS,99.25
Mar-87,QS,111
Apr-87,QS,83.75
May-87,QS,136
Jun-87,QS,71.4
Jul-87,QS,115.5
Aug-87,QS,91.75
Sep-87,QS,121.2
Oct-87,QS,99.75
Nov-87,QS,128
Dec-87,QS,102.5
Jan-88,QS,115
Feb-88,QS,119
Mar-88,QS,154
Apr-88,QS,105.5
May-88,QS,90.8
Jun-88,QS,115
Jul-88,QS,58.62
Aug-88,QS,76.365
Sep-88,QS,91.71625
Oct-88,QS,101.969
Nov-88,QS,93.0148
Dec-88,QS,100.7585
Jan-89,QS,90.204
Feb-89,QS,105.37075
Mar-89,QS,81.634
Apr-89,QS,92.3553825
May-89,QS,92.8614
Jun-89,QS,72.59173667
Jul-89,QS,28.07566667
Aug-89,QS,68.9353
Sep-89,QS,18.48933333
Oct-89,QS,128.8628346
Nov-89,QS,244.9
Dec-89,QS,155.35
Jan-90,QS,277.894725
Feb-90,QS,228.7828
Mar-90,QS,299.88905
Apr-90,QS,312.046925
May-90,QS,215.8062477
Jun-90,QS,243
Jul-90,QS,228.8333333
Aug-90,QS,206
Sep-90,QS,170.377775
Oct-90,QS,176.48384
Nov-90,QS,140.4321
Dec-90,QS,191.38352
Jan-91,QS,233.85875
Feb-91,QS,108.033725
Mar-91,QS,173.6457449
Apr-91,QS,121.8806694
May-91,QS,75.08821931
Jun-91,QS,114.7987334
Jul-91,QS,69.17836682
Aug-91,QS,69.4051878
Sep-91,QS,65.29516674
Oct-91,QS,135.9751321
Nov-91,QS,131.5487588
Dec-91,QS,188.3800489
Jan-92,QS,157.5515996
Feb-92,QS,71.8306756
Mar-92,QS,133.3536305
Apr-92,QS,99.00443479
May-92,QS,144.1524991
Jun-92,QS,79.66924816
Jul-92,QS,104.4669857
Aug-92,QS,111.6132846
Sep-92,QS,72.23511405
Oct-92,QS,131.5500126
Nov-92,QS,41.49443901
Dec-92,QS,39.39143347
Mar-93,QS,139.9005874
Apr-93,QS,66.99418211
May-93,QS,147.8761862
Jun-93,QS,73.74604609
Jul-93,QS,140.5332128
Aug-93,QS,95.75237235
Sep-93,QS,86.25169453
Oct-93,QS,95.45865341
Nov-93,QS,127.8355174
Dec-93,QS,83.6722398
Jan-94,QS,186.398554
Feb-94,QS,77.60957976
Mar-94,QS,137.3248983
Apr-94,QS,109.862178
May-94,QS,62.13285133
Jun-94,QS,76.86398554
Jul-94,QS,93.61349601
Nov-94,QS,104.1112278
Jan-95,QS,121.0937624
Oct-96,QS,119.9525501
Nov-96,QS,96.62956818
Dec-96,QS,131.7083158
Jan-97,QS,124.4275074
Feb-97,QS,123.0779667
Mar-97,QS,114.4825926
Apr-97,QS,148.1036373
May-97,QS,116.8319812
Jun-97,QS,132.8951148
Jul-97,QS,57.25777594
Aug-97,QS,76.11050285
Sep-97,QS,87.27116566
Oct-97,QS,56.57423208
Nov-97,QS,87.50021879
Dec-97,QS,28.66666667
Jan-98,QS,107.9396173
Feb-98,QS,76.5
Mar-98,QS,34.88684186
Apr-98,QS,26.5
May-98,QS,64.75764219
Jun-98,QS,49.83228286
Jul-98,QS,65.14279851
Aug-98,QS,86.61282375
Sep-98,QS,88.73210665
Oct-98,QS,107.6450622
Nov-98,QS,233.7412726
Dec-98,QS,176.5664652
Jan-99,QS,196.75
Feb-99,QS,216.214725
Mar-99,QS,227.8489309
Apr-99,QS,175.649874
May-99,QS,124
Jun-99,QS,134.2
Jul-99,QS,115.75
Aug-99,QS,95
Sep-99,QS,173
Jan-00,QS,168
Feb-00,QS,133.8
Mar-00,QS,169.5
Apr-00,QS,154.75
May-00,QS,113.2
Jun-00,QS,96.80997318
Jul-00,QS,140.1804493
Aug-00,QS,90.4423836
Sep-00,QS,94
Oct-00,QS,114.3
Nov-00,QS,116.875
Dec-00,QS,134.625
Jan-01,QS,134.2
Feb-01,QS,91
Mar-01,QS,119
Apr-01,QS,78.5
May-01,QS,66.2
Jun-01,QS,109
Jul-01,QS,83.75
Aug-01,QS,67.5
Sep-01,QS,72
Oct-01,QS,72.6
Nov-01,QS,104.5
Dec-01,QS,76.75
Jan-02,QS,117.4
Feb-02,QS,137
Mar-02,QS,101.5
Apr-02,QS,59.2
May-02,QS,66.75
Jun-02,QS,69.5
Jul-02,QS,96.2
Aug-02,QS,122.8571244
Sep-02,QS,68.5
Oct-02,QS,96.3
Nov-02,QS,77.5
Dec-02,QS,100.6
Jan-03,QS,119.75
Feb-03,QS,69.875
Mar-03,QS,129.875
Apr-03,QS,71.8
May-03,QS,75.25
Jun-03,QS,75.87742569
Jul-03,QS,65.4
Aug-03,QS,72.75
Sep-03,QS,60.6
Oct-03,QS,131.75
Nov-03,QS,49.75
Dec-03,QS,67.56
Jan-04,QS,102.25
Feb-04,QS,117.25
Mar-04,QS,55.7
Apr-04,QS,56.375
May-04,QS,25.375
Jun-04,QS,69.8
Jul-04,QS,48
Aug-04,QS,134.5
Sep-04,QS,53.9
Oct-04,QS,73.625
Nov-04,QS,80.6
Dec-04,QS,49.125
Jan-05,QS,73.02130467
Feb-05,QS,75.29297513
Mar-05,QS,123.3217006
Apr-05,QS,116.3379721
May-05,QS,60.9
Jun-05,QS,76
Jul-05,QS,62.78865594
Aug-05,QS,71.54725984
Sep-05,QS,79.03272715
Oct-05,QS,57.41169474
Nov-05,QS,54.42378051
Dec-05,QS,84.37139862
Jan-06,QS,55.75711796
Feb-06,QS,95.03898426
Mar-06,QS,92.69439064
Apr-06,QS,59.07023121
May-06,QS,57.13132542
Jun-06,QS,65.6210261
Jul-06,QS,72.44060178
Aug-06,QS,64.73284913
Sep-06,QS,69.91000593
Oct-06,QS,54.51292711
Nov-06,QS,84.38440708
Dec-06,QS,67.13254643
Jan-07,QS,83.93844574
Feb-07,QS,112.5285722
Mar-07,QS,79.85874601
Apr-07,QS,39.12598722
May-07,QS,67.80508011
Jun-07,QS,45.90055795
Jul-07,QS,40.19899264
Aug-07,QS,46.25023791
Sep-07,QS,66.80734475
Oct-07,QS,67.0025215
Nov-07,QS,87.08393408
Dec-07,QS,43.9534106
Jan-08,QS,51.18852245
Feb-08,QS,66.77445006
Mar-08,QS,66.1854943
Apr-08,QS,52.21793983
May-08,QS,75.66368181
Jun-08,QS,43.60865446
Jul-08,QS,66.35531714
Aug-08,QS,54.59560289
Sep-08,QS,61.7458806
Oct-08,QS,81.47759962
Nov-08,QS,68.86216878
Dec-08,QS,74.0851161
Jan-09,QS,85.94802907
Feb-09,QS,56.48418071
Mar-09,QS,67.98380336
Apr-09,QS,49.38389842
May-09,QS,58.14076403
Jun-09,QS,67.64014622
Jul-09,QS,41.90435418
Aug-09,QS,43.74604003
Sep-09,QS,59.58661298
Oct-09,QS,86.85
Nov-09,QS,64.425
Dec-09,QS,94.6
Jan-10,QS,53.25
Feb-10,QS,81.6
Mar-10,QS,75.46
Apr-10,QS,58.925
May-10,QS,40.055
Jun-10,QS,40.925
Jul-10,QS,37.1
Aug-10,QS,62.65
Sep-10,QS,37.65
Oct-10,QS,108.3
Nov-10,QS,84.44
Dec-10,QS,71.125
Jan-11,QS,76.4
Feb-11,QS,50.95
Mar-11,QS,73.3
Apr-11,QS,69.95
May-11,QS,39.12
Jun-11,QS,52.225
Jul-11,QS,47.425
Aug-11,QS,29.45
Sep-11,QS,39.35
Oct-11,QS,101.3
Nov-11,QS,19.02
Dec-11,QS,115.475
Jan-12,QS,58.42
Feb-12,QS,56
Mar-12,QS,60.9
Apr-12,QS,24.45
May-12,QS,13.88
Jun-12,QS,66.5
Jul-12,QS,40.66
Aug-12,QS,48.625
Sep-12,QS,70.8
Oct-12,QS,8.4
Nov-12,QS,37.475
Dec-12,QS,70.175
Jan-13,QS,44.28
Feb-13,QS,10.65
Mar-13,QS,58.575
Apr-13,QS,22.6
May-13,QS,32.5
Jun-13,QS,11.825
Jul-13,QS,18.88
Aug-13,QS,8.625
Sep-13,QS,36.425
Oct-13,QS,88.54
Nov-13,QS,42.825
Dec-13,QS,35.2
Jan-14,QS,78
Feb-14,QS,90.05
Mar-14,QS,51.2
Apr-14,QS,51.02
May-14,QS,50.1
Jun-14,QS,97.45
Jul-14,QS,74.18
Aug-14,QS,21.375
Sep-14,QS,43.6
Oct-14,QS,87
Nov-14,QS,22.825
Dec-14,QS,63.15
