Estuary,station_code,Date,Month,Total Catch
San Antonio Bay,172,7/3/2017,7.00,296
San Antonio Bay,183,7/3/2017,7.00,255
San Antonio Bay,97,7/3/2017,7.00,153
San Antonio Bay,78,7/4/2017,7.00,132
San Antonio Bay,59,7/4/2017,7.00,87
San Antonio Bay,40,7/6/2017,7.00,87
San Antonio Bay,23,7/6/2017,7.00,96
San Antonio Bay,35,7/6/2017,7.00,75
San Antonio Bay,27,7/6/2017,7.00,53
San Antonio Bay,118,7/7/2017,7.00,63
San Antonio Bay,208,7/24/2017,7.00,63
San Antonio Bay,152,7/24/2017,7.00,751
San Antonio Bay,187,7/24/2017,7.00,309
San Antonio Bay,239,7/24/2017,7.00,354
San Antonio Bay,228,7/24/2017,7.00,694
San Antonio Bay,186,7/24/2017,7.00,38
San Antonio Bay,190,7/24/2017,7.00,176
San Antonio Bay,131,7/27/2017,7.00,107
San Antonio Bay,112,7/27/2017,7.00,362
San Antonio Bay,114,7/27/2017,7.00,14
San Antonio Bay,88,8/8/2017,8.00,67
San Antonio Bay,152,8/8/2017,8.00,233
San Antonio Bay,165,8/8/2017,8.00,136
San Antonio Bay,145,8/8/2017,8.00,139
San Antonio Bay,49,8/9/2017,8.00,25
San Antonio Bay,23,8/9/2017,8.00,9
San Antonio Bay,39,8/9/2017,8.00,20
San Antonio Bay,99,8/9/2017,8.00,53
San Antonio Bay,244,8/9/2017,8.00,75
San Antonio Bay,245,8/9/2017,8.00,91
San Antonio Bay,229,8/16/2017,8.00,145
San Antonio Bay,267,8/16/2017,8.00,202
San Antonio Bay,228,8/16/2017,8.00,119
San Antonio Bay,279,8/16/2017,8.00,241
San Antonio Bay,221,8/16/2017,8.00,38
San Antonio Bay,222,8/16/2017,8.00,56
San Antonio Bay,275,8/16/2017,8.00,444
San Antonio Bay,209,8/16/2017,8.00,351
San Antonio Bay,212,8/17/2017,8.00,295
San Antonio Bay,19,8/17/2017,8.00,10
San Antonio Bay,221,9/4/2017,9.00,8
San Antonio Bay,232,9/4/2017,9.00,6
San Antonio Bay,84,9/4/2017,9.00,17
San Antonio Bay,259,9/4/2017,9.00,17
San Antonio Bay,283,9/4/2017,9.00,47
San Antonio Bay,284,9/4/2017,9.00,101
San Antonio Bay,37,9/4/2017,9.00,56
San Antonio Bay,278,9/5/2017,9.00,41
San Antonio Bay,267,9/5/2017,9.00,54
San Antonio Bay,240,9/5/2017,9.00,22
San Antonio Bay,11,9/18/2017,9.00,24
San Antonio Bay,49,9/18/2017,9.00,26
San Antonio Bay,39,9/18/2017,9.00,3
San Antonio Bay,50,9/18/2017,9.00,11
San Antonio Bay,78,9/18/2017,9.00,8
San Antonio Bay,191,9/19/2017,9.00,66
San Antonio Bay,192,9/19/2017,9.00,287
San Antonio Bay,100,9/21/2017,9.00,9
San Antonio Bay,151,9/21/2017,9.00,78
San Antonio Bay,164,9/21/2017,9.00,25
San Antonio Bay,277,10/2/2017,10.00,56
San Antonio Bay,177,10/2/2017,10.00,12
San Antonio Bay,286,10/2/2017,10.00,86
San Antonio Bay,88,10/2/2017,10.00,50
San Antonio Bay,187,10/2/2017,10.00,7
San Antonio Bay,231,10/2/2017,10.00,27
San Antonio Bay,245,10/2/2017,10.00,36
San Antonio Bay,159,10/3/2017,10.00,33
San Antonio Bay,143,10/3/2017,10.00,48
San Antonio Bay,144,10/3/2017,10.00,55
San Antonio Bay,215,10/17/2017,10.00,12
San Antonio Bay,224,10/17/2017,10.00,52
San Antonio Bay,217,10/17/2017,10.00,46
San Antonio Bay,253,10/17/2017,10.00,73
San Antonio Bay,255,10/17/2017,10.00,8
San Antonio Bay,279,10/18/2017,10.00,45
San Antonio Bay,278,10/18/2017,10.00,38
San Antonio Bay,28,10/23/2017,10.00,79
San Antonio Bay,47,10/30/2017,10.00,372
San Antonio Bay,57,10/30/2017,10.00,12
San Antonio Bay,119,11/1/2017,11.00,26
San Antonio Bay,171,11/1/2017,11.00,58
San Antonio Bay,89,11/1/2017,11.00,45
San Antonio Bay,164,11/6/2017,11.00,32
San Antonio Bay,36,11/6/2017,11.00,15
San Antonio Bay,187,11/6/2017,11.00,205
San Antonio Bay,35,11/6/2017,11.00,124
San Antonio Bay,190,11/6/2017,11.00,302
San Antonio Bay,24,11/6/2017,11.00,269
San Antonio Bay,38,11/6/2017,11.00,75
San Antonio Bay,220,11/16/2017,11.00,156
San Antonio Bay,256,11/16/2017,11.00,71
San Antonio Bay,228,11/16/2017,11.00,203
San Antonio Bay,255,11/16/2017,11.00,941
San Antonio Bay,221,11/20/2017,11.00,119
San Antonio Bay,278,11/20/2017,11.00,335
San Antonio Bay,287,11/20/2017,11.00,343
San Antonio Bay,247,11/20/2017,11.00,913
San Antonio Bay,257,11/20/2017,11.00,52
San Antonio Bay,245,11/20/2017,11.00,43
San Antonio Bay,72,12/1/2017,12.00,18
